time,azimuth
44,-29
94,-26
146,-28
196,-25
250,-25
295,-24
346,-25
394,-30
444,-30
494,-26
546,-29
594,-27
644,-27
697,-28
745,-25
795,-28
844,-27
896,-26
954,-27
996,-33
1044,-28
1094,-26
1144,-32
1196,-26
1244,-26
1294,-27
1345,-24
1395,-24
1445,-25
1496,-24
1545,-26
1594,-25
1645,-26
1697,-24
1746,-25
1794,-25
1843,-24
1894,-25
1947,-26
1996,-25
2044,-22
2094,-29
2144,-23
2195,-23
2244,-30
2295,-24
2344,-25
2394,-27
2444,-25
2494,-30
2546,-28
2595,-28
2644,-30
2695,-27
2744,-27
2795,-30
2844,-27
2896,-30
2950,-31
2998,-26
3048,-32
3096,-28
3144,-28
3194,-29
3244,-27
3294,-27
3344,-31
3395,-29
3444,-27
3494,-29
3544,-26
3594,-27
3644,-30
3694,-27
3744,-27
3797,-31
3845,-28
3896,-27
3948,-28
3994,-26
4045,-29
4094,-30
4146,-27
4195,-29
4245,-31
4296,-31
4345,-32
4395,-31
4444,-30
4494,-29
4544,-31
4596,-32
4645,-28
4696,-31
4746,-31
4796,-29
4845,-33
4896,-28
4953,-29
4997,-31
5044,-27
5094,-32
5145,-33
5194,-29
5245,-34
5294,-35
5345,-30
5398,-36
5445,-29
5495,-32
5544,-39
5594,-27
5643,-37
5693,-38
5746,-23
5793,-29
5844,-26
5894,-25
5947,-30
5994,-30
6044,-29
6094,-31
6144,-34
6194,-36
6244,-28
6294,-30
6344,-34
6394,-30
6444,-33
6495,-34
6544,-29
6595,-33
6644,-32
6695,-30
6744,-35
6797,-35
6844,-34
6894,-32
6948,-29
6994,-31
7045,-34
7099,-28
7145,-30
7196,-31
7244,-29
7294,-37
7344,-28
7395,-35
7444,-33
7495,-32
7544,-36
7596,-30
7644,-34
7696,-36
7744,-36
7795,-42
7844,-30
7896,-39
7948,-35
7994,-29
8044,-30
8095,-34
8145,-35
8194,-30
8245,-29
8295,-43
8345,-27
8395,-34
8445,-37
8495,-24
8544,-26
8594,-30
8645,-26
8695,-31
8744,-31
8797,-33
8844,-30
8895,-36
8954,-38
8994,-28
9044,-32
9095,-31
9144,-31
9195,-31
9244,-31
9295,-33
9344,-29
9396,-31
9445,-29
9495,-27
9545,-25
9595,-26
9645,-26
9697,-25
9744,-26
9795,-32
9845,-22
9894,-29
9944,-28
9998,-22
10047,-26
10094,-23
10144,-27
10195,-26
10246,-25
10295,-26
10346,-27
10396,-26
10445,-26
10496,-26
10548,-27
10595,-26
10645,-28
10694,-27
10746,-26
10795,-30
10845,-29
10895,-26
10945,-31
10998,-26
11044,-26
11094,-30
11145,-27
11195,-32
11246,-30
11294,-28
11346,-33
11396,-30
11446,-30
11496,-32
11547,-27
11596,-26
11645,-27
11696,-28
11745,-27
11795,-28
11846,-25
11894,-29
11945,-28
12001,-28
12044,-28
12094,-28
12144,-29
12198,-29
12244,-29
12294,-30
12346,-30
12396,-33
12444,-30
12494,-30
12545,-33
12595,-30
12645,-30
12697,-31
12744,-33
12795,-32
12844,-31
12894,-34
12944,-31
12997,-31
13044,-35
13094,-27
13144,-29
13194,-28
13244,-28
13295,-27
13343,-24
13395,-27
13445,-24
13496,-22
13545,-25
13596,-24
13644,-25
13696,-27
13745,-28
13796,-27
13845,-27
13896,-27
13947,-25
13998,-24
14044,-26
14094,-26
14145,-26
14196,-30
14244,-29
14295,-25
14345,-26
14395,-28
14447,-27
14495,-23
14544,-27
14595,-22
14645,-23
14695,-27
14745,-24
14798,-24
14845,-23
14895,-24
14946,-23
14998,-20
15044,-23
15094,-25
15144,-25
15195,-28
15244,-26
15295,-26
15344,-30
15395,-27
15446,-26
15495,-26
15544,-32
15596,-26
15645,-32
15697,-37
15744,-26
15795,-28
15845,-30
15895,-27
15945,-36
16002,-33
16044,-26
16095,-41
16145,-30
16195,-29
16244,-32
16294,-29
16345,-32
16395,-29
16445,-29
16494,-29
16546,-27
16594,-31
16644,-25
16694,-27
16744,-33
16795,-27
16845,-26
16894,-24
16944,-23
16999,-20
17044,-23
17095,-19
17145,-22
17196,-26
17245,-28
17294,-36
17344,-39
17396,-36
17445,-41
17494,-35
17545,-39
17594,-40
17644,-34
17695,-39
17745,-36
17797,-36
17844,-31
17898,-40
17945,-32
18005,-28
18044,-34
18094,-34
18144,-29
18197,-29
18245,-37
18295,-33
18345,-31
18394,-32
18444,-30
18495,-32
18544,-35
18595,-34
18645,-35
18695,-31
18745,-36
18797,-33
18845,-31
18894,-34
18945,-32
19001,-28
19044,-36
19096,-36
19145,-29
19196,-33
19245,-30
19295,-29
19346,-29
19394,-30
19446,-33
19495,-25
19546,-40
19595,-28
19646,-26
19696,-29
19745,-28
19797,-28
19845,-27
19895,-29
19946,-30
20003,-26
20043,-27
20095,-25
20145,-30
20194,-25
20246,-29
20295,-36
20345,-24
20396,-29
20445,-29
20494,-25
20546,-25
20595,-25
20645,-26
20696,-26
20746,-28
20795,-29
20845,-27
20898,-27
20946,-34
20996,-28
21053,-29
21095,-27
21145,-30
21197,-29
21245,-29
21297,-32
21346,-28
21395,-30
21447,-29
21495,-30
21545,-35
21596,-27
21646,-31
21698,-30
21744,-35
21794,-26
21848,-44
21894,-31
21944,-28
21995,-28
22050,-28
22096,-33
22145,-26
22194,-25
22244,-35
22295,-22
22345,-24
22395,-52
22445,-22
22495,-30
22545,-35
22596,-25
22644,-49
22697,-34
22744,-28
22795,-37
22845,-32
22894,-34
22946,-34
22995,-32
23047,-35
23095,-28
23144,-32
23194,-33
23245,-28
23295,-36
23344,-34
23394,-33
23445,-36
23494,-34
23545,-37
23594,-32
23645,-36
23696,-33
23745,-34
23795,-35
23846,-32
23894,-31
23950,-35
23996,-33
24049,-36
24094,-37
24145,-33
24195,-32
24246,-35
24296,-41
24345,-39
24396,-35
24447,-38
24494,-37
24545,-39
24596,-35
24645,-38
24695,-36
24746,-33
24795,-36
24845,-41
24894,-36
24947,-36
24996,-33
25051,-37
25098,-34
25144,-37
25194,-33
25245,-35
25294,-35
25344,-31
25395,-36
25446,-34
25495,-37
25545,-35
25595,-35
25644,-33
25697,-37
25746,-34
25796,-34
25845,-34
25894,-32
25945,-33
25994,-33
26051,-35
26097,-33
26144,-35
26195,-33
26246,-35
26295,-32
26347,-35
26395,-33
26444,-36
26496,-34
26546,-33
26595,-38
26646,-33
26697,-33
26745,-33
26795,-31
26845,-28
26895,-33
26945,-29
26995,-29
27045,-34
27102,-36
27146,-33
27196,-30
27244,-35
27294,-32
27349,-37
27399,-38
27445,-35
27495,-37
27545,-36
27598,-37
27645,-38
27696,-36
27745,-39
27799,-35
27846,-34
27898,-33
27944,-33
27996,-33
28044,-33
28112,-32
28147,-32
28194,-32
28244,-32
28294,-31
28345,-29
28395,-33
28445,-34
28498,-29
28545,-34
28594,-37
28644,-32
28694,-38
28745,-36
28794,-32
28844,-34
28895,-31
28945,-33
28994,-32
29044,-31
29104,-33
29144,-33
29194,-34
29245,-33
29294,-33
29345,-34
29395,-32
29444,-31
29495,-35
29544,-36
29594,-35
29645,-39
29694,-41
29745,-39
29794,-37
29845,-38
29894,-38
29945,-33
29998,-39
30045,-34
30100,-32
30145,-41
30194,-33
30244,-41
30294,-35
30345,-29
30394,-34
30445,-31
30496,-27
30545,-30
30595,-40
30645,-35
30696,-35
30746,-36
30795,-39
30845,-39
30895,-32
30946,-32
30998,-40
31045,-33
31101,-39
31144,-39
31195,-35
31244,-47
31295,-35
31346,-34
31395,-42
31444,-39
31496,-34
31545,-35
31595,-33
31645,-33
31697,-34
31745,-34
31796,-35
31844,-41
31895,-35
31944,-34
31995,-35
32044,-35
32098,-36
32143,-38
32193,-35
32245,-35
32297,-39
32345,-37
32394,-38
32444,-44
32494,-39
32545,-37
32596,-40
32645,-43
32696,-37
32745,-41
32793,-39
32845,-36
32894,-41
32945,-35
32994,-33
33045,-36
33094,-36
33147,-33
33195,-37
33245,-37
33295,-31
33345,-34
33396,-34
33444,-29
33496,-35
33546,-28
33597,-28
33646,-35
33697,-31
33749,-31
33795,-33
33848,-29
33894,-29
33945,-28
33996,-25
34048,-27
34095,-27
34152,-29
34194,-31
34244,-29
34297,-30
34345,-32
34394,-30
34446,-26
34494,-28
34545,-29
34597,-29
34644,-29
34694,-30
34745,-31
34794,-34
34846,-31
34895,-30
34947,-30
34995,-29
35045,-29
35095,-29
35157,-32
35194,-34
35244,-36
35294,-36
35344,-37
35397,-35
35444,-32
35495,-31
35545,-31
35595,-28
35645,-28
35695,-29
35745,-30
35795,-32
35845,-30
35896,-30
35946,-28
35994,-26
36045,-28
36095,-27
36151,-28
36195,-34
36245,-34
36297,-38
36345,-39
36396,-37
36445,-35
36495,-35
36545,-29
36595,-31
36645,-33
36695,-31
36745,-33
36795,-31
36844,-34
36896,-35
36944,-31
36994,-33
37045,-32
37094,-31
37148,-37
37194,-38
37244,-41
37294,-44
37345,-40
37399,-49
37445,-48
37497,-45
37545,-48
37596,-48
37645,-48
37697,-56
37745,-56
37796,-52
37846,-58
37895,-56
37945,-57
37996,-56
38045,-59
38096,-60
38155,-60
38194,-57
38244,-60
38294,-62
38346,-62
38396,-62
38445,-59
38497,-52
38545,-50
38595,-61
38645,-50
38695,-52
38744,-43
38795,-45
38845,-56
38894,-46
38945,-40
38996,-46
39044,-43
39095,-45
39149,-36
39202,-39
39244,-42
39294,-38
39345,-36
39395,-35
39444,-37
39494,-40
39545,-32
39594,-35
39644,-38
39695,-34
39744,-33
39794,-38
39845,-32
39895,-34
39945,-34
39995,-29
40044,-35
40095,-34
40144,-29
40197,-35
40245,-32
40295,-31
40345,-34
40395,-29
40445,-36
40494,-32
40544,-28
40595,-31
40645,-32
40694,-30
40744,-32
40794,-31
40845,-35
40894,-30
40944,-35
40995,-33
41044,-33
41095,-32
41146,-31
41196,-34
41245,-33
41294,-29
41345,-31
41394,-33
41444,-28
41494,-32
41545,-28
41595,-28
41644,-28
41694,-27
41744,-29
41795,-31
41844,-30
41894,-30
41944,-31
41995,-32
42045,-34
42095,-31
42144,-33
42197,-36
42244,-35
42294,-41
42345,-39
42395,-34
42445,-40
42494,-42
42544,-31
42594,-37
42644,-40
42694,-31
42745,-40
42795,-39
42845,-37
42894,-36
42945,-35
42994,-34
43044,-34
43095,-34
43144,-35
43194,-33
43261,-34
43295,-37
43344,-34
43394,-37
43444,-35
43495,-33
43544,-36
43595,-39
43644,-35
43695,-41
43744,-39
43795,-38
43844,-41
43895,-39
43945,-38
43995,-41
44045,-38
44094,-38
44144,-38
44194,-39
44250,-38
44295,-41
44345,-40
44396,-40
44443,-40
44495,-37
44546,-40
44596,-35
44645,-38
44695,-42
44745,-39
44795,-39
44847,-42
44893,-45
44944,-45
44995,-40
45046,-44
45094,-41
45144,-41
45195,-41
45261,-45
45294,-41
45344,-44
45396,-43
45447,-45
45494,-42
45546,-44
45594,-41
45644,-39
45695,-46
45747,-45
45795,-44
45845,-43
45896,-43
45944,-46
45995,-47
46045,-42
46094,-41
46145,-48
46194,-43
46248,-44
46296,-51
46344,-44
46395,-50
46446,-43
46494,-46
46547,-54
46595,-40
46645,-46
46695,-44
46745,-43
46795,-49
46845,-46
46896,-43
46946,-45
46993,-45
47045,-43
47096,-44
47144,-44
47195,-41
47248,-41
47298,-50
47346,-45
47396,-43
47446,-43
47496,-44
47545,-44
47594,-45
47645,-40
47696,-46
47745,-41
47795,-46
47845,-44
47894,-43
47945,-47
47994,-53
48044,-50
48095,-52
48144,-44
48197,-54
48244,-50
48300,-52
48345,-49
48394,-51
48445,-42
48494,-47
48544,-44
48594,-43
48646,-41
48695,-40
48744,-44
48795,-47
48845,-45
48896,-41
48946,-45
48995,-41
49044,-49
49096,-40
49145,-39
49194,-49
49245,-42
49307,-42
49346,-46
49394,-41
49445,-40
49495,-43
49546,-42
49595,-36
49645,-38
49694,-44
49747,-39
49794,-37
49847,-41
49894,-36
49945,-38
49995,-42
50044,-36
50096,-44
50145,-41
50194,-39
50247,-37
50300,-42
50344,-37
50395,-37
50445,-38
50494,-44
50545,-31
50594,-39
50646,-34
50696,-33
50744,-35
50795,-37
50847,-39
50894,-39
50946,-38
50997,-36
51043,-44
51094,-39
51144,-41
51194,-36
51244,-40
51300,-39
51345,-35
51394,-39
51444,-44
51494,-36
51544,-36
51596,-43
51644,-32
51697,-38
51746,-41
51794,-32
51846,-40
51897,-36
51945,-40
51995,-38
52045,-32
52095,-34
52144,-28
52194,-35
52245,-30
52305,-32
52344,-30
52395,-32
52444,-26
52495,-27
52545,-28
52597,-25
52645,-30
52694,-28
52744,-27
52796,-31
52845,-33
52896,-28
52946,-32
52994,-32
53045,-34
53097,-31
